,date,li_price
969,2018-11-30,70.0
970,2018-12-03,70.0
971,2018-12-04,70.0
972,2018-12-05,70.0
973,2018-12-06,70.0
974,2018-12-07,70.0
975,2018-12-10,70.0
976,2018-12-11,70.0
977,2018-12-12,70.0
978,2018-12-13,70.0
979,2018-12-14,70.0
980,2018-12-17,70.0
981,2018-12-18,70.0
982,2018-12-19,69.5
983,2018-12-20,69.5
984,2018-12-21,69.5
985,2018-12-24,68.5
986,2018-12-25,68.5
987,2018-12-26,68.5
988,2018-12-27,68.5
989,2018-12-28,68.5
990,2018-12-29,68.5
991,2019-01-02,68.5
992,2019-01-03,68.5
993,2019-01-04,68.5
994,2019-01-07,68.5
995,2019-01-08,68.5
996,2019-01-09,68.5
997,2019-01-10,68.5
998,2019-01-11,68.5
999,2019-01-14,68.5
1000,2019-01-15,67.5
1001,2019-01-16,67.5
1002,2019-01-17,67.5
1003,2019-01-18,67.5
1004,2019-01-21,67.5
1005,2019-01-22,67.5
1006,2019-01-23,67.5
1007,2019-01-24,67.5
1008,2019-01-25,67.5
1009,2019-01-28,67.5
1010,2019-01-29,67.5
1011,2019-01-30,67.5
1012,2019-01-31,67.5
1013,2019-02-01,67.5
1014,2019-02-11,67.5
1015,2019-02-12,67.5
1016,2019-02-13,67.5
1017,2019-02-14,67.5
1018,2019-02-15,67.5
1019,2019-02-18,67.5
1020,2019-02-19,68.5
1021,2019-02-20,68.5
1022,2019-02-21,68.5
1023,2019-02-22,68.5
1024,2019-02-25,63.5
1025,2019-02-26,68.5
1026,2019-02-27,68.5
1027,2019-02-28,68.5
1028,2019-03-01,67.5
1029,2019-03-04,67.5
1030,2019-03-05,67.5
1031,2019-03-06,67.5
1032,2019-03-07,67.5
1033,2019-03-08,66.5
1034,2019-03-11,66.5
1035,2019-03-12,65.5
1036,2019-03-13,65.5
1037,2019-03-14,65.5
1038,2019-03-15,65.5
1039,2019-03-18,65.5
1040,2019-03-19,65.5
1041,2019-03-20,65.5
1042,2019-03-21,65.5
1043,2019-03-22,65.5
1044,2019-03-25,65.5
1045,2019-03-26,65.5
1046,2019-03-27,65.5
1047,2019-03-28,65.5
1048,2019-03-29,65.5
1049,2019-04-01,65.0
1050,2019-04-02,65.0
1051,2019-04-03,65.0
1052,2019-04-04,65.0
1053,2019-04-05,65.0
1054,2019-04-08,65.0
1055,2019-04-09,64.5
1056,2019-04-10,64.5
1057,2019-04-11,64.5
1058,2019-04-12,64.5
1059,2019-04-15,64.5
1060,2019-04-16,64.5
1061,2019-04-17,64.5
1062,2019-04-18,72.0
1063,2019-04-19,64.5
1064,2019-04-22,64.5
1065,2019-04-23,65.0
1066,2019-04-24,65.0
1067,2019-04-25,65.0
