"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 09월 19일","59.80","56.10","60.00","56.10","41.47M","4.93%"
"2018년 09월 18일","56.99","59.34","60.53","55.10","82.74M","-3.36%"
"2018년 09월 17일","58.97","58.01","60.17","57.63","34.44M","-0.12%"
"2018년 09월 14일","59.04","57.75","59.47","57.30","33.83M","1.99%"
"2018년 09월 13일","57.89","57.60","59.00","57.04","31.70M","-0.38%"
"2018년 09월 12일","58.11","56.29","58.50","55.73","50.08M","3.97%"
"2018년 09월 11일","55.89","55.89","56.40","54.71","45.85M","-2.12%"
"2018년 09월 10일","57.10","54.65","57.21","54.20","71.42M","8.45%"
"2018년 09월 07일","52.65","52.02","53.67","50.45","112.46M","-6.30%"
"2018년 09월 06일","56.19","56.96","58.23","55.78","37.40M","0.07%"
"2018년 09월 05일","56.15","57.01","57.36","55.44","38.60M","-2.84%"
"2018년 09월 04일","57.79","59.39","59.64","57.60","41.75M","-4.21%"
"2018년 08월 31일","60.33","60.40","61.06","59.72","26.88M","-0.49%"
"2018년 08월 30일","60.63","60.45","60.92","59.54","36.08M","-0.61%"
"2018년 08월 29일","61.00","62.05","62.37","60.74","37.24M","-2.20%"
"2018년 08월 28일","62.37","63.68","63.78","62.24","38.25M","-2.32%"
"2018년 08월 27일","63.85","63.60","64.49","61.76","65.40M","-1.10%"
"2018년 08월 24일","64.56","64.14","64.77","63.88","18.01M","0.84%"
"2018년 08월 23일","64.02","63.83","65.46","63.62","25.74M","-0.48%"
"2018년 08월 22일","64.33","64.17","64.78","62.93","29.73M","-0.08%"
"2018년 08월 21일","64.38","62.12","64.96","61.80","65.86M","4.36%"
"2018년 08월 20일","61.69","58.34","61.70","57.64","87.01M","0.97%"
"2018년 08월 17일","61.10","64.70","65.35","60.71","94.79M","-8.93%"
"2018년 08월 16일","67.09","67.98","68.46","66.76","30.32M","-0.96%"
"2018년 08월 15일","67.74","68.38","68.90","66.43","45.51M","-2.57%"
"2018년 08월 14일","69.53","71.69","71.84","69.42","34.93M","-2.46%"
"2018년 08월 13일","71.28","72.23","72.64","69.80","52.32M","0.25%"
"2018년 08월 10일","71.10","70.80","72.00","69.20","57.76M","0.87%"
"2018년 08월 09일","70.49","73.11","73.40","69.15","85.92M","-4.83%"
"2018년 08월 08일","74.07","73.82","76.53","73.42","122.86M","-2.42%"
"2018년 08월 07일","75.91","68.77","77.49","67.83","154.38M","10.98%"
"2018년 08월 06일","68.40","69.09","71.00","68.36","42.82M","-1.77%"
"2018년 08월 03일","69.63","69.56","71.00","68.51","68.28M","-0.40%"
"2018년 08월 02일","69.91","65.69","70.00","64.63","116.07M","16.19%"
"2018년 08월 01일","60.17","59.60","60.60","58.60","50.65M","0.91%"
"2018년 07월 31일","59.63","58.45","59.66","57.81","25.38M","2.76%"
"2018년 07월 30일","58.03","59.18","59.22","57.23","34.07M","-2.37%"
"2018년 07월 27일","59.44","61.45","61.54","59.07","28.52M","-3.08%"
"2018년 07월 26일","61.33","60.97","62.14","60.73","23.15M","-0.68%"
"2018년 07월 25일","61.75","59.35","61.92","58.90","35.47M","3.80%"
"2018년 07월 24일","59.49","60.88","61.54","58.51","47.95M","-1.90%"
"2018년 07월 23일","60.64","60.37","61.10","58.57","54.96M","-3.32%"
"2018년 07월 20일","62.72","64.25","64.65","62.34","25.83M","-2.08%"
"2018년 07월 19일","64.05","63.27","64.71","62.80","29.58M","-1.11%"
"2018년 07월 18일","64.77","65.00","65.10","63.25","28.12M","0.36%"
"2018년 07월 17일","64.54","61.76","64.95","61.70","34.98M","4.06%"
"2018년 07월 16일","62.02","62.34","63.03","61.25","39.09M","-2.74%"
"2018년 07월 13일","63.77","63.12","63.92","61.85","29.38M","0.68%"
"2018년 07월 12일","63.34","64.29","64.65","62.55","28.61M","-0.71%"
"2018년 07월 11일","63.79","63.16","64.39","63.01","24.42M","-1.09%"
"2018년 07월 10일","64.49","64.91","65.54","63.84","47.36M","1.24%"
"2018년 07월 09일","63.70","62.40","63.70","61.60","37.98M","3.11%"
"2018년 07월 06일","61.78","60.99","62.41","60.40","44.33M","-0.08%"
"2018년 07월 05일","61.83","62.75","62.88","59.24","87.38M","-0.55%"
"2018년 07월 03일","62.17","66.35","66.50","61.94","61.41M","-7.22%"
"2018년 07월 02일","67.01","72.01","72.96","65.97","93.80M","-2.30%"
"2018년 06월 29일","68.59","70.67","70.77","68.48","32.46M","-2.00%"
"2018년 06월 28일","69.99","69.73","71.40","69.22","41.99M","1.58%"
"2018년 06월 27일","68.90","69.00","70.16","67.90","41.67M","0.73%"
"2018년 06월 26일","68.40","67.21","68.71","65.16","37.26M","2.70%"
"2018년 06월 25일","66.60","66.02","67.69","65.50","34.66M","-0.19%"
"2018년 06월 22일","66.73","70.31","70.45","66.40","51.33M","-3.99%"
"2018년 06월 21일","69.50","72.40","73.24","69.25","39.84M","-4.06%"
"2018년 06월 20일","72.44","71.61","72.88","70.40","41.92M","2.74%"
"2018년 06월 19일","70.51","73.03","74.00","69.25","63.81M","-4.93%"
"2018년 06월 18일","74.17","71.08","74.75","70.90","60.37M","3.55%"
"2018년 06월 15일","71.63","70.77","72.93","70.25","54.24M","0.13%"
"2018년 06월 14일","71.54","69.53","71.75","69.32","54.91M","3.74%"
"2018년 06월 13일","68.96","69.34","69.44","67.96","47.35M","0.60%"
"2018년 06월 12일","68.55","68.94","70.99","67.60","111.74M","3.21%"
"2018년 06월 11일","66.42","64.50","66.93","64.50","65.92M","4.55%"
"2018년 06월 08일","63.53","63.80","64.90","63.43","41.03M","0.49%"
"2018년 06월 07일","63.22","63.23","66.00","62.72","71.73M","-1.06%"
