"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 04월 06일","6,758.00","6,771.75","6,801.00","6,732.50","-","-0.87%"
"2018년 04월 05일","6,817.00","6,738.50","6,862.75","6,721.50","-","1.55%"
"2018년 04월 04일","6,712.75","6,814.75","6,822.50","6,622.25","-","-1.44%"
"2018년 04월 03일","6,811.00","6,767.50","6,828.25","6,766.25","-","1.07%"
"2018년 03월 29일","6,738.75","6,670.75","6,776.25","6,661.75","-","1.06%"
"2018년 03월 28일","6,668.25","6,645.50","6,689.75","6,605.75","-","0.15%"
"2018년 03월 27일","6,658.25","6,640.00","6,720.75","6,625.25","-","0.54%"
"2018년 03월 26일","6,622.50","6,638.00","6,667.25","6,534.25","-","-0.36%"
"2018년 03월 23일","6,646.75","6,690.50","6,711.50","6,624.50","-","-1.20%"
"2018년 03월 22일","6,727.75","6,839.25","6,859.75","6,675.00","-","-1.55%"
"2018년 03월 21일","6,834.00","6,762.00","6,834.50","6,702.25","-","1.16%"
"2018년 03월 20일","6,755.75","6,844.00","6,865.50","6,732.25","-","-1.11%"
"2018년 03월 19일","6,831.50","6,861.25","6,878.75","6,785.25","-","-0.82%"
"2018년 03월 16일","6,888.25","6,907.00","6,974.25","6,852.75","-","-0.48%"
"2018년 03월 15일","6,921.50","6,995.00","7,012.00","6,890.50","-","-0.84%"
"2018년 03월 14일","6,980.25","6,936.75","7,062.50","6,924.50","-","0.40%"
"2018년 03월 13일","6,952.25","6,934.00","6,958.00","6,872.75","-","0.52%"
"2018년 03월 12일","6,916.00","6,986.25","6,991.50","6,886.75","-","-0.61%"
"2018년 03월 09일","6,958.25","6,837.75","6,968.75","6,778.25","-","2.00%"
"2018년 03월 08일","6,821.75","6,942.75","6,952.00","6,809.50","-","-1.69%"
"2018년 03월 07일","6,939.25","6,966.50","6,990.25","6,906.75","-","-0.73%"
"2018년 03월 06일","6,990.50","6,938.25","7,029.00","6,925.75","-","0.93%"
"2018년 03월 05일","6,926.00","6,934.00","6,943.50","6,856.00","-","0.17%"
"2018년 03월 02일","6,914.00","6,927.75","6,959.25","6,881.50","-","0.40%"
"2018년 03월 01일","6,886.25","6,926.75","6,964.00","6,859.50","-","-0.68%"
"2018년 02월 28일","6,933.50","7,014.75","7,037.50","6,924.50","-","-1.33%"
"2018년 02월 27일","7,026.75","7,130.50","7,142.50","6,989.25","-","-1.22%"
"2018년 02월 26일","7,113.25","7,122.00","7,178.25","7,092.50","-","0.03%"
"2018년 02월 23일","7,111.25","7,155.00","7,165.25","7,084.75","-","-0.85%"
"2018년 02월 22일","7,172.00","7,070.25","7,191.75","7,005.00","-","0.56%"
