,date,매출액,매출원가,매출총이익,영업이익,순이익,자산총계,매출총이익률,영업이익률,주당순이익EPS(달러),주가수익배수PER(배),총자산이익률ROA(%)
968,2018-10-05,19708.384615384617,15917.923076923078,3790.4615384615386,-432.9230769230769,-943.6923076923076,29171.384615384617,19.61430134751287,-2.5687723363916524,-1.1076923076923075,-61.478461538461545,-3.4153846153846152
969,2018-10-08,19738.602122015916,15943.803713527852,3794.7984084880636,-432.14854111405833,-944.2493368700266,29181.188328912467,19.600850708728665,-2.555654376538815,-1.1082493368700264,-61.42814323607428,-3.4151193633952253
970,2018-10-09,19768.819628647216,15969.684350132626,3799.135278514589,-431.37400530503976,-944.8063660477453,29190.992042440317,19.58740006994446,-2.5425364166859774,-1.1088063660477452,-61.37782493368701,-3.4148541114058353
971,2018-10-10,19799.037135278515,15995.564986737401,3803.472148541114,-430.59946949602124,-945.3633952254642,29200.79575596817,19.573949431160255,-2.52941845683314,-1.109363395225464,-61.32750663129974,-3.4145888594164457
972,2018-10-11,19829.254641909814,16021.445623342175,3807.809018567639,-429.8249336870026,-945.920424403183,29210.59946949602,19.560498792376052,-2.5163004969803024,-1.109920424403183,-61.27718832891247,-3.4143236074270558
973,2018-10-12,19859.472148541114,16047.32625994695,3812.1458885941647,-429.0503978779841,-946.4774535809019,29220.403183023875,19.547048153591845,-2.503182537127465,-1.1104774535809017,-61.226870026525205,-3.414058355437666
974,2018-10-15,19889.689655172413,16073.206896551725,3816.4827586206898,-428.27586206896547,-947.0344827586207,29230.206896551725,19.533597514807642,-2.4900645772746275,-1.1110344827586207,-61.17655172413794,-3.413793103448276
975,2018-10-16,19919.907161803712,16099.087533156498,3820.819628647215,-427.50132625994695,-947.5915119363395,29240.010610079575,19.520146876023436,-2.47694661742179,-1.1115915119363395,-61.12623342175067,-3.413527851458886
976,2018-10-17,19950.12466843501,16124.968169761274,3825.1564986737403,-426.7267904509284,-948.1485411140584,29249.81432360743,19.506696237239233,-2.4638286575689525,-1.1121485411140584,-61.0759151193634,-3.413262599469496
977,2018-10-18,19980.34217506631,16150.848806366048,3829.4933687002654,-425.9522546419098,-948.7055702917771,29259.61803713528,19.493245598455026,-2.450710697716115,-1.1127055702917772,-61.02559681697613,-3.412997347480106
978,2018-10-19,20010.55968169761,16176.729442970824,3833.8302387267904,-425.17771883289123,-949.2625994694961,29269.42175066313,19.47979495967082,-2.4375927378632776,-1.113262599469496,-60.975278514588865,-3.412732095490716
979,2018-10-22,20040.77718832891,16202.610079575597,3838.167108753316,-424.40318302387266,-949.8196286472148,29279.225464190982,19.466344320886616,-2.42447477801044,-1.1138196286472148,-60.9249602122016,-3.4124668435013263
980,2018-10-23,20070.994694960213,16228.490716180371,3842.503978779841,-423.6286472148541,-950.3766578249337,29289.029177718832,19.452893682102413,-2.4113568181576026,-1.1143766578249337,-60.87464190981433,-3.4122015915119364
981,2018-10-24,20101.212201591512,16254.371352785147,3846.840848806366,-422.8541114058355,-950.9336870026525,29298.832891246682,19.439443043318207,-2.398238858304765,-1.1149336870026525,-60.82432360742706,-3.4119363395225464
982,2018-10-25,20131.42970822281,16280.25198938992,3851.1777188328915,-422.079575596817,-951.4907161803714,29308.636604774536,19.425992404534,-2.3851208984519277,-1.1154907161803713,-60.77400530503979,-3.4116710875331564
983,2018-10-26,20161.64721485411,16306.132625994695,3855.5145888594166,-421.3050397877984,-952.0477453580902,29318.440318302386,19.412541765749797,-2.37200293859909,-1.1160477453580901,-60.723687002652525,-3.4114058355437664
984,2018-10-29,20191.864721485414,16332.01326259947,3859.8514588859416,-420.53050397877985,-952.604774535809,29328.24403183024,19.399091126965594,-2.3588849787462527,-1.116604774535809,-60.67336870026526,-3.4111405835543764
985,2018-10-30,20222.082228116713,16357.893899204244,3864.188328912467,-419.7559681697613,-953.1618037135279,29338.04774535809,19.385640488181387,-2.345767018893415,-1.1171618037135278,-60.62305039787799,-3.4108753315649865
